userName;score;at;content
friade fauzi;1;25/03/2023 14:46;Akses susah, daftar BBM subsidi susah.
Effendi ba Fendi;5;25/03/2023 14:46;Saya sudah mendapat teta bulum ada notapokasih belumada ok/ yes ( hasil dari Pertamina ada apa
Yoga Kira;1;25/03/2023 13:42;Bikin ribet, sampah. Mau ngisi BBM yang memang hak gue yang udah di atur undang undang kenapa Lo ribetin.
jenal ciamis;5;25/03/2023 13:32;Semoga harganya bisa turun lagi
Adyt Santai;1;25/03/2023 12:02;Sy salah isi data dan minta penghapusan data ngak ada konfirmasi
Novi A;1;25/03/2023 11:55;Saya mau bikin gak jadi2 , akhirnya bayar 50k beres wkwk . +62
Muhammad Suta Salaka;1;25/03/2023 11:31;Tidak membantu, tidak memudahkan konsumen, tidak fair dlm record loh pengisian BBM pada kendaraan.
agus paijo;2;25/03/2023 09:52;cukup rumit berbelit belit
Arief Firmansyah;1;25/03/2023 09:37;Aplikasi gatel
Bayu Diantoro;1;25/03/2023 07:48;indonesia makin ribet!!! nyari solar susah mlh dibikin ribet
bapak zaenal;1;25/03/2023 07:40;Aplikasi ga jelas...daftar dari 2 hari yg lalu ga perna bisa
Gaspar Luandjaja;5;25/03/2023 07:32;Makin mudah
kris arianto;1;25/03/2023 06:30;Aplikasi yang sangat jelek daftar berbulan bulan sampai blm beres verifikasi
Ramadika Pratama Kurniawan;1;25/03/2023 06:08;Untuk mengambil foto stnk gk bisa di fokuskan ataupun diatur cahayanya, ada batas megabitnya juga maunya apa, minta foto jelas tapi kamera dari aplikasinya gk bisa difokuskan, menyusahkan.
Angga Tri maulana;1;25/03/2023 05:59;Ribet
Eko Kurnia;5;25/03/2023 05:40;Ok
Gilang Munggaran;5;25/03/2023 05:36;Alhamdulilah pengalaman saya mengunakan aplikasinya lancarrr .
Darijo Sastro;5;25/03/2023 05:32;Sangat membantu untuk mengetahui siapa saja yang berhak mendapakan BBM bersubsidi , dan mengerti jumlah stok dan ketubuhan yang harus tersedia dalam waktu yang ditentukan oleh pemerintah , dan juga menpermudah dalam pengisian di spbu .
muhammad yusuf;5;25/03/2023 05:27;Tak ada antrian pamjang,cepat proses pengisian.
raymond fauzi;1;25/03/2023 04:58;Mau upload gambar untuk ngajuin subsidi susahnya minta ampun.
Febry Cozta;1;25/03/2023 04:56;Berkali2 daftar ggal terus,, bisa gk sih bikin apps yg bagus dikit? Projek nasional kok...
adetya santosa;1;25/03/2023 04:53;"G jelas... Udh dftar lamaa... Verifikasi sampe skrg g muncul"". Kalau belom siaap aplikasinya... Jngan di paksain bossssss.."
Putrafajar Ramadan;1;25/03/2023 04:48;Kuranggggg
Basuki Lek321;1;25/03/2023 04:42;Sangat berbelit belit seperti memberantas mafianya..
Kadri Saja;5;25/03/2023 04:09;Good
aditya cahya sucipta;1;25/03/2023 03:30;Beli udh mulai pake barcode..tp info pembelian atau riwayat g muncul di aplikasi..trus apa gunanya d scan..?😂😂konyol..
Gun Gun GUNAWAN;5;25/03/2023 03:27;Makasih sudah membantu memisah kan uang bensin saya biar gak ke pakai lagi depositt slot wkwkwk
Angga Prasetio;1;25/03/2023 03:25;Aplikasi ampas banyak kendala di server gk guna solar masih tetep langka banyak bug,maksa mau bikin aplikasi bukannya mempermudah malah mempersulit
Ulfa Raudhiyah;5;25/03/2023 03:13;membantu lebih cepat pengisian bbm mobil :)
weitha89 yanto;5;25/03/2023 03:11;Bagus
Yosua Alfabeth Sitanggang 22-138;1;25/03/2023 03:03;aplikasi tolo gausah hubungkan ke link aja, mending ke dompet digital lainnya. link ajah sama buruk nya sama aplikasi ini. saya sedang diluar kota dan tidak bisa mengisi bbm. masa mengisi bbm dipersulit, tinggal bayar ajah susah
Koko Prastio;1;25/03/2023 03:00;Semoga indonesia mendapatkan orang2 yg berkompeten di bidangnya masing2 agar Indonesia lebih maju lagi, Amin😇
Andi Acho;1;25/03/2023 02:30;👎
Rizki Mahardhika;1;25/03/2023 02:24;User experience : 5/10 Pembayarannya ribet
arya dwipangga;4;25/03/2023 02:22;Tepat
artha channel;5;25/03/2023 02:22;Sangat bagus rekomendid buat semua kalangan
Ismail Marsuki;5;25/03/2023 02:11;𝙆𝙚𝙡𝙪𝙖𝙝𝙖𝙣 𝙣𝙤𝙢𝙚𝙧 𝙨𝙖𝙩𝙪 𝙖𝙙𝙖𝙡𝙖𝙝 𝙠𝙝𝙪𝙨𝙪𝙨𝙣𝙮𝙖 𝙙𝙞 𝙙𝙖𝙚𝙧𝙖𝙝 𝙥𝙖𝙠𝙤𝙣𝙜 𝙙𝙖𝙣 𝙗𝙡𝙪𝙢𝙗𝙪𝙣𝙜𝙖 𝙙𝙖𝙣 𝘿𝙞 𝙨𝙚𝙡𝙪𝙧𝙪𝙝 𝙠𝙖𝙗𝙪𝙥𝙖𝙩𝙚𝙣 𝙥𝙖𝙢𝙚𝙠𝙖𝙨𝙖𝙣 𝙟𝙖𝙬𝙖 𝙩𝙞𝙢𝙪𝙧 𝙏𝙤𝙡𝙤𝙣𝙜 𝙙𝙖𝙝𝙪𝙡𝙪𝙠𝙖𝙣 𝙥𝙚𝙣𝙜𝙚𝙣𝙙𝙖𝙧𝙖 𝙟𝙖𝙣𝙜𝙖𝙣 𝙪𝙩𝙖𝙢𝙖𝙠𝙖𝙣 𝙥𝙚𝙣𝙜𝙞𝙨𝙞𝙖𝙣 𝙟𝙧𝙞𝙜𝙚𝙣 𝙥𝙚𝙙𝙖𝙜𝙖𝙣𝙜 𝙚𝙘𝙚𝙧𝙖𝙣 𝙠𝙞𝙩𝙖 𝙖𝙣𝙩𝙧𝙞 𝙥𝙖𝙣𝙖𝙨-𝙥𝙖𝙣𝙖𝙨𝙖𝙣 𝙢𝙚𝙢𝙖𝙣𝙟𝙖𝙣𝙜 𝙜𝙖𝙧𝙖2 𝙢𝙚𝙣𝙙𝙖𝙝𝙪𝙡𝙪𝙠𝙖𝙣 𝙥𝙚𝙣𝙜𝙞𝙨𝙞𝙖𝙣 𝙟𝙧𝙞𝙜𝙚𝙣.
Candra Putra;5;25/03/2023 02:07;Mantappp
Nengah Sadiana;5;25/03/2023 02:07;Good job
Azis Official;1;25/03/2023 01:42;Respon lambat di pemberitahuan 3 hari ini udah masuk 6 hari tetap gak ada respon
Ryo Heryawan;2;25/03/2023 01:38;Belum pernah pakai karena pom bensinnya tidak menyediakan fasilitas ini
Abdul Holik (Oyek);5;25/03/2023 01:23;daftarnya sangat mudah dan sangat membantu untuk dapatkan lokasi spbu terdekat , mungkin yg belum bisa harus lebih sabar lagi ya 😁
Rio Hermawan;1;25/03/2023 01:14;Aplikasi keluar sendiri masih di pertengahan pendaftaran , NIK ktp udah terisi trus ulang balik awal, sekali mau daftar lagi masukan NIK nya tiba tiba NIK sudah terdaftar cemana itu, sedangkan belum selesai
Ida My Love;1;24/03/2023 22:38;Tidak adanya konfirmasi kode verifikasi pendaftaran diterima atau tidaknya. Membuat pekerjaan suami menjadi terhambat, saat menghubungi cs tidak dapat menyelesaikan masalah dgn alasan beda devisi pekerjaan. Jika memang terlalu banyak karyawan yg sekiranya tidak berguna untuk apa digaji terus dari duit rakyat. Harapan pengguna menghubungi cs agar masalah bisa terselesaikan dengan cepat, ini jawaban cs harap sabar menunggu dan tidak ada konfirmasi apa yg kami tunggu
Widya Ismayani;1;24/03/2023 21:56;Sangat buruk!!!
Dimas Rora;1;24/03/2023 17:53;Aplikasi buruk, sangat buruk memperumit dan buruk!!!! Very bad!!!!
Marlina Lina;1;24/03/2023 17:35;Aplikasi sangat buruk Nik sudah daftar dan suruh cek email,tp email apa pun tidak masuk dari mypertamina... Sangat jelek tak membantu... Malah menyusahkan
Bagas;1;24/03/2023 17:16;Aplikasi sangat buruk, mnta kode Verifikasi dri email tpi gk ada sama skli email masuk, mau nggu smpe kpn bru bisa terverifikasi?? Emgnya BBM bisa di isi pke air hadehh smakin gk jelas
Andi Merlin;5;24/03/2023 17:01;Mantap
Agus Weru;5;24/03/2023 16:58;Sanggat membantu perjalanan saya
Peter Young;5;24/03/2023 16:19;Knpa gak terima
Said Rinaldi Arfa;1;24/03/2023 15:43;Halah
Anil Hakim;1;24/03/2023 15:36;Sampah!
MASHUD Channel;1;24/03/2023 14:58;Belgedes !!! Ruwet Setau sya adanya aplikasi itu mempermudah, ini ruwet. Berkali konfirmasi email tapi tidak masuk diemail.
ARJUN HR;5;24/03/2023 13:44;Bagus lah
Opium Wire;1;24/03/2023 12:54;Aneh, NIK dan Password udah bener tapi keterangan salah terus. Jadi ga bisa daftar subsidi cepat. Aplikasi buruk bkin ribet
Chandra Martadinata;4;24/03/2023 12:30;Ok
Irman 19;1;24/03/2023 11:06;Membuat nambah ribet,pndaftaran sangat sulit ter acc
8A_26 Sultan Syarif Hidayatullah;1;24/03/2023 10:36;Aplikasi gajelas ga guna minimal udah memenuhi standar lah
Suwondo Mawarti;1;24/03/2023 10:25;Sangat buruk Aplikasi.......
Marc;1;24/03/2023 09:51;Xk9
Leman Leman;1;24/03/2023 09:48;Sangat buruk kalau tidak sanggup membuat aplikasi yg baik setidaknya balikan metode awal pembelian tidak ribet dasar Indonesia saran bagi yang mau daftar tidak usah download aplikasi ini biar ditindak lanjuti saja
Ayu Budiarti;1;24/03/2023 09:12;Semoga yg bikin kebijakan dan aplikasi ini hidupnya gak bahagia dan penuh dosa aamiin. Aplikasi gblok....
FAFa Al;1;24/03/2023 09:03;ribetttt nya minta ampunnn... isi bensin suruh pake app tpi daftar nya aja ribettt banget,,, status di tolak trusss... kaya gak niat banget bikin aplikasi nya
PUTRA ANDALAN;1;24/03/2023 09:03;Sangat buruk dan tidak bermanfaat, semoga aplikasi nya di hapus dan tidak di izin kan oleh negara , Pertamina mengecewakan
Yusuf kalu;5;24/03/2023 08:35;Baru mau coba
Haryono Ilham;1;24/03/2023 08:31;Maksain bngt. Pake barkot jadi antri makan waktu bsa 1/2 jam. Biar ga antri bebasin aja kaya biasa nya. Subsidi ga tepat.
Diah ayu Vitaloka;1;24/03/2023 08:05;Bintang yang berbicara
Ganz Gaming;1;24/03/2023 07:33;GAK NIAT SEPERTINYA BIKIN APLIKASI,ATAU BELUM SIAP SAMA SEPERTI INI PAKAI SISTEMNYA,KELUHAN NYA SAMA SEPERTI YG LAIN CUKUP MENJAWAB DENGAN BINTANG SATU AJA,TOLONG SEGERA DI PERBAIKI DAN DI PERMUDAH
Joko Haryono;5;24/03/2023 07:21;Ok
Boni Hermawan;1;24/03/2023 07:14;"Aplikasi burik gak bisa login selalu muncul ""NIK dan Password Salah"" di cek ke kecamatan nomor NIK gw bener. Aplikasinya aja yang salah. Udah sulit dipersulit hadeuh"
Tunggul Sitanggang;1;24/03/2023 07:14;Malah nyusahin orang
Sri Wahyuni;5;24/03/2023 06:01;ribet
Aditya Eko;1;24/03/2023 05:55;Perbaiki sistemnya
Hasan nudin;1;24/03/2023 04:49;Ini gimana sih,katanya harus pake aplikasi utk beli BBM bersubsidi tp aplikasi nya gk bisa di buka..kalau sengaja di buat ribet sudahlah cabut aja subsidi BBM sekalian
Hanum Hanum;1;24/03/2023 04:11;Kurang pas utk kami, krena runitnya,, kita lupa paswor dan dikirim ke email malah tidak ada stupun pesan masuk ke email kita,,,
Syafruddin 160;3;24/03/2023 04:04;Prosesny lambat, selesai daftar dan upload KTP, STNK, photo mobill dan mdptkan QR barcode TIDAK bisa...
Calon Direktur;1;24/03/2023 04:00;Daftar nya susah bet dah menguji kesabaran mana lagi puasa lagi
Ade Baruno Kurniawan;1;24/03/2023 03:41;Meresahkan, orang Di suruh Pake Barcode. Faktanya Masih Bisa isi pake NoPol, di Curi deh Kuota Saya Hari Ini
Agus 123;1;24/03/2023 03:41;Ngluncurin aplikasi kaya gak guna, loading ke pembayan gak bisa bisa
Mursalin Salim;3;24/03/2023 03:40;Ko saya daptar my Pertamina gagal terus ya
Dody s. Syahran;5;24/03/2023 03:22;Mantap
KATARINA TARIHORAN;1;24/03/2023 03:11;Gajelas, nyusahin orang!!!!!!!!
Joko Handoko;1;24/03/2023 03:09;aplikasi gak jelas
Agus Kurnia;2;24/03/2023 01:20;Mau menghubungkan dengan akun ovo/gopay susah
Daniel Tanudiharja;1;24/03/2023 01:20;Harus berulang ulang buang buang waktu seolah olah hanya untuk aplikasi ini saja
dedy syaputra;1;24/03/2023 00:25;Aplikasi rumit,sulit, sukar, angel g jelas, mbuletisasi, pkek NIK jg malah jd kuatir, pdhl kan cm buat pembelian, kita g mnta tp beli pkek uang cas.. malah dipersulit, gpp pakai aplikasi tp seenggaknya simtemnya dilancarin dl aplikasinya jg, sering erorr g jelas
Dandy Saputra;1;23/03/2023 22:58;Aplikasi gk guna
Engkus Maliki;5;23/03/2023 22:54;Pelayanan Terbaik
Mohamad Anam;1;23/03/2023 21:09;Waktu dowlod QR susah
Endang Bintang Jaya;5;23/03/2023 21:07;Cukup epektip adanya barkot kmi setuju
Ahmad Yahya;4;23/03/2023 19:51;Semoga bermanfaat app ini
kiky AKPIRA;1;23/03/2023 19:32;Mypertamina ga bisa dipakai transaksi di SPBU. beberapa SPBU setiap sy mau transaksi via mypertamina pegawai SPBU bilang ga bisa....
Bowo Gusty prahasta;5;23/03/2023 19:08;Testing
Imam Sutrisno;4;23/03/2023 17:55;Lambat keluarkan QR Code
HB Habibullah;1;23/03/2023 16:40;This is an awful App. Ngisinya ngajak berantem.
Supoyourepbejo Bejo;5;23/03/2023 15:59;baru belajar
AGUS SALIM;5;23/03/2023 15:46;Bagus
Ngadi Delpianto;3;23/03/2023 15:29;Sekian lama baru bisa lepas dari penolakan pembelian tanpa barkot my Pertamina
Joni Zm;1;23/03/2023 15:28;Aplikasi apa ini, daftar gak bisa bisa, bikin jengkel doang
Husaini paru Husaini;5;23/03/2023 14:51;Baik
The Avels;1;23/03/2023 12:00;Buruk dan sangat jelek setahun yg lalu sudah ada QR CODE saya tpi sekarang tidak muncul
Andi Putra Nur Alim;1;23/03/2023 11:21;Tidak jelas. Katanya masyarakat yang keliru cara pakainya, tapi emang aplikasinya yang tidak jelas
Rizky Tri Maryadi;1;23/03/2023 10:02;Saya udah upload foto STNK bolak balik berulang tapi selalu dapat notifikasi STNK foto kurang jelas. Gagal terus. Gimana lah ga jelas bener
Hartono Movis;5;23/03/2023 09:42;Ok
Azka zhaina Shabiya;1;23/03/2023 08:04;Bumi ini sudah sangat tua..jaman pun berubah..pemimpin pun makin mempersulit semua ny,klw mau bergerak sedikit pun perlu uang..pemimpin sekarang sama pemimpin jaman kini sangat2 jau berbeda..jdi smua ny tergantung pemimpinny.
Ronny Ronny;1;23/03/2023 07:46;Data dan foto udah benar semua tapi tetap aja blg tidak sesuai... Aplikasi masok angin... Aturan dbuat aplikasi gak sempurna....
Nanda Hardi;1;23/03/2023 07:30;kek gini aplikasi bumn? ampasss
Agung Sandi;1;23/03/2023 07:20;Aplikasi ga jelasssss, nyusahin, bukan nya mempermudah malah bikin ribet, gagunaaaa, nyusahin orang aja
Kanya;1;23/03/2023 07:17;Pengalaman pas udah mau selesai upload foto mobil sm stnk tiba-tiba lag padahal sinyal wifi bagus, saya coba lah ganti pake internet hasilnya juga sama aja. Udah susah-susah foto buat ngga blur malah akhirnya ngga bisa diupload. Niat hati mau upload dari galeri aja biar mudah ngga fota-foto lagi, malah tertera kalau ukuran file fotonya kebesaran.
Aziz Sunaryo;1;23/03/2023 06:34;Susah pengajuan lama kusut
puput wulandari;1;23/03/2023 06:04;Pertamina sebesar itu bikin aplikasi bad banget. Payaaah
Dadi Mulyadi;1;23/03/2023 05:59;Aplikasinya sangat susah untuk mendaftar. Saat ada kesalahan isi, balik lagi dari awal, sangat membuang-buang waktu.
Budi Aryono;5;23/03/2023 05:18;Sering jaringan di SPBU tidak konsisten shg memperlambat pembayaran
Jhon Ties;5;23/03/2023 05:03;Sangat membantu
aang prasetyo;5;23/03/2023 04:42;Siipp
djudju Djumiasih;1;23/03/2023 04:32;To bad
Zulham tembong;1;23/03/2023 04:32;Semua kebijakan nya makin ribet makin susah dan makin payah yg ada antri dan antri panjang makin di persulit, saran saya tolong di ubah sistem nya , masa mobil nya di daftarkan nomor plat nya udah terdaftar sementara belum pernah di daftar, dan terus misalkan mobil bahan bakar pertalite didaftarkan Mala data sudah terpakai terus terdaftar mobil nya masa solar sementara pertalite. Parah
Marubat Sitorus;4;23/03/2023 04:26;Ok
Mahardani Robian;1;23/03/2023 03:24;Aplikasi gak guna. Sudah daftarkan malah gak berhasil
Rini hardianti;1;23/03/2023 02:36;Rakyat susah malah dibuat lebih susa babi
Tarzan Barutu;1;23/03/2023 02:24;verifikasinya sulit sekali. Minta foto STNK terus padahal sdh difoto jelas dan sesuai contoh.
muhammad ahsin;1;23/03/2023 02:07;aplikasi apaan, verifikasi kode di email audah dimasukkan dg benar, rp tetap dibilang salah. aplikasi bodoh yg mempersulit
Suhud Situmorang;5;23/03/2023 01:17;Mntap
Banjar official;1;23/03/2023 01:00;Sangat ribet 👎👎👎
Frans Silaen;1;23/03/2023 00:56;Buruk, sangat buruk sama seperti pemerintahannya yg buruk.
Erlis Budiasih;1;23/03/2023 00:38;Aplikasi gak jelas , padahal sdh berulang ulang saya daftar dengan data yg benar tetap aja tdk bisa , semakin menyulit kan , beli solar pakai uang sendiri aja masih di persulit , saya beli solar woyy gak minta , npa di persulit
Nina Wijaya;2;23/03/2023 00:37;Ini aplikasi fungsinya buat apa sih.. terus manfaatnya apa buat masyarakat..apa hanya untuk meningkatkan rating pertamina aja
Vebri Siswanto;1;23/03/2023 00:20;Sekelas BUMN apk nya seperti ini ?
jhoko saputra;5;22/03/2023 20:19;mantap
Twk Muhammad Yusuf;3;22/03/2023 19:44;Tolong dong perbaiki lagi aplikasinya, agar dapat menghubungkan LinkAja sebagai metode pembayaran..terima Kasih
Harist Simanjuntak;1;22/03/2023 16:40;longor
August Tiyoso;3;22/03/2023 16:18;pemberlakuan my pertamina menimbulkan masalah, terhadap konsumen yg jalan antar provinsi, aplikasi gk bisa digunakan krn wilayah sulit jaringan internet, disisi lain pihak SPBU saklek aturan pertamina, sampai terjadi rinut mulut, Pertamina gk mikirkan klu indonesia itu blm merata kualitas jaringan internetnya, PAHAM kan!!!
Jangkrik;5;22/03/2023 16:04;Jos
Desra Intisa;4;22/03/2023 15:50;Harus disempurnakan
Riston Hasugian;5;22/03/2023 15:47;Aplikasi yang bagus dan sangat gampang di pahami.
Wage Vixi.46;1;22/03/2023 15:46;Bikin tambah sulit aja
afif khairy;1;22/03/2023 15:35;Membuat rumit.... Kenapa harus dipersulit...?
Aji Rustandi;1;22/03/2023 14:20;Hp kentang.......mau isi bbm pake aplikasih......apa kata dunia
Irvan Travelling;1;22/03/2023 14:04;Aplikasi asu daftar gak iso melbu
Wijy Purnomo;2;22/03/2023 13:57;Sangat membingungkan
PUJI ANTORO;1;22/03/2023 13:55;Apk belum siap,,, gak ada guna. Bikin pusing pengguna,,,semua data sampah disimpan nya,,,tidak bisa membedakan mana yg terverifikasi dan yg belum,,,,semua data yg pernah dimasukkan apk ini disimpan, dan tudak bisa digunakan lg walaupun belum sukses. Apk konyol,,,, sekarang era web 3,,,ada apa dg apk ini,,,
Nissa dan Alissa;1;22/03/2023 13:40;buruk
Andreas Kuncoro;5;22/03/2023 13:36;Simpel
nur kholis;5;22/03/2023 12:46;Hebat dan cepat
Ukie Poetra;1;22/03/2023 12:35;Ngapain harus di kaitkan dengan linkaja lebih dulu Sedangkan opsinya banyak tpi tidak bisa di pilih. Aplikasinya kurang memihak ke kalangan bawah.
Mimi suraya;1;22/03/2023 11:54;Aplikasi nya sangat rumit . Apa lagi kalau untuk pengaduan layanan . Belum apa-apa ngomong udh di akhir saja . Tolong di perbaiki lagi ya kak sistem nya 🙂
deni ramdani;1;22/03/2023 11:26;Jatah solar cuma 100 liter perhari buat sopir lintas itu ga cukup Harusnya perjalanan cepet skrg jadi lambat
enk 71;1;22/03/2023 11:10;Aplikasi yang sangat buruk, mau login aja ribetnya bikin stress. Akun terdaftar tapi verikasi akun sangat lama, dan kemudian tertolak.
TUKANG_NGELUYUR_338;1;22/03/2023 09:22;Tiap mau isi BBM kuota habis.... Jangan2 ada yg pakai no pol saya.... Gimana nih Pertamina masa mobil di saya tp orang lain bisa isi pakai nopol saya
M Ramdhan;3;22/03/2023 09:18;Kata di apk nya bisa pake ovo lah pas di coba ke pom nya malah gabisa . tolong lah permudah pembayaran . sy kasih bintng 3 dlu klo bisa pake ovo ke pom nya baru tak kasih b 5
Dwi Suratiningsih;1;22/03/2023 08:18;Jelek banget, aplikasi merepotkan
Siska Emilia;1;22/03/2023 07:58;Terlalu berbelit² bikin bingung dan ga jelas
Budi Prasetyo;1;22/03/2023 07:02;Apa sih gunanya aplikasi ini, semua data sudah masuk sesuai dengan identitas saya dan kendaraan saya, dan hari ini saya sangat kecewa karena mendapatkan penolakan saat isi bbm dengan alasan saya telah melakukan pengisian bbm untuk hari ini, dan saya di anjurkan untuk mengisi dengan bbm yang tidak bersubsidi, trs selama ini data yang saya cantumkan gunanya untuk apa kalau data kendaraan saya masih bisa di gunakan orang lain?
Polly;4;22/03/2023 06:53;Good job
Fadly Surya Firmansyah;4;22/03/2023 06:51;Button atau tombol untuk cetak kode QR nya ga berfungsi ya? Mohon di perbaiki terimakasih pertamina
Sopir Trukbox;5;22/03/2023 06:25;Good
Dedy Darz;1;22/03/2023 06:23;gimn mo di pake aplikasiy, log in aja g bisa
Set Adrian Aponno;1;22/03/2023 06:07;Sayang sekali jika harus gunakan linkaja duluan baru bisa aktivasi pakai ovo sebagai metode pembayaran. Karena saya bukan pengguna linkaja
Nur hadi;5;22/03/2023 04:28;sangat membantu
tjiwong gagah;1;22/03/2023 04:24;Update data malah susah,upload foto alasan harus terbaca,,,, sebetulnya dilihat atau tidak saya upload foto,,,, Tolong perbaiki sistemnya,,,,
Renol Sinaga;5;22/03/2023 04:12;Ok
Teuku Muhammad Zaki;1;22/03/2023 04:10;Ribet
Wahyu Triyatmoko;1;22/03/2023 04:05;Susah buat daftar
Su Parman;5;22/03/2023 04:01;Suparman Tanjung rejo,10,05,1976
BUDIMAN BUDIMAN;1;22/03/2023 03:16;Perbaiki lagi supaya terhubung ke link aja soalnya gagal terus
Prista Sunanda;5;22/03/2023 02:51;Top
Amin Sahidin;1;22/03/2023 02:49;Tidak bagus lama lemot mau masukin no yg lwat email kmbali trus ngk akan masuk ujung2
Luluk Samsuri;1;22/03/2023 02:47;busuk
thorik alfajri;1;22/03/2023 02:40;Sangat rumit tidak membatu seperti di persulit masak mau daftat ulang nopolnya tidak bisa sama,knp di tolak kalau tidak bisa di ulangi dengam nopol yang sama
Nanda Fitrianto;1;22/03/2023 02:40;suruh pake aplikasi tapi banyak spbu yang tidak melayani prmbayaran pakai mypertamina, kan lucu 😂
Subhan Yuda;4;22/03/2023 02:23;Baik
Sunja Dhiki Firmansah;1;22/03/2023 02:12;Lambat dalam menjawab pertanyaan dan aplikasi sering tidak dapat digunakan
Sutrisno;1;22/03/2023 01:50;Aplikasi my pertamina saya kok tidak bisa di hubungkan ke link aja ,,,heran gue,,,sampai gue call cs nya dan pulsa saya sampai habis dan belum ada penyeleseiannya,,,kok ribet buanget yaa!!!
Hendra balok;1;22/03/2023 01:47;Tidak mambantu dan mempersulit pengisian dan pembodohan publik
agus suanda;1;22/03/2023 01:45;Aplikasi gk jelas
Rianto;5;22/03/2023 01:36;good
Muhammad Zacky;5;22/03/2023 01:23;Jelek kode gk masuk,pake wa Kan bisa juga verifikasinya ribet banget pake sms
