content;Sentimen
Aplikasinya sangat susah untuk mendaftar. Saat ada kesalahan isi, balik lagi dari awal, sangat membuang-buang waktu.;Negatif
Sering jaringan di SPBU tidak konsisten shg memperlambat pembayaran;Negatif
Sangat membantu;Positif
Siipp;Positif
To bad;Negatif
Semua kebijakan nya makin ribet makin susah dan makin payah yg ada antri dan antri panjang makin di persulit, saran saya tolong di ubah sistem nya , masa mobil nya di daftarkan nomor plat nya udah terdaftar sementara belum pernah di daftar, dan terus misalkan mobil bahan bakar pertalite didaftarkan Mala data sudah terpakai terus terdaftar mobil nya masa solar sementara pertalite. Parah;Negatif
Ok;Positif
Aplikasi gak guna. Sudah daftarkan malah gak berhasil;Negatif
Rakyat susah malah dibuat lebih susa babi;Negatif
verifikasinya sulit sekali. Minta foto STNK terus padahal sdh difoto jelas dan sesuai contoh.;Negatif
aplikasi apaan, verifikasi kode di email audah dimasukkan dg benar, rp tetap dibilang salah. aplikasi bodoh yg mempersulit;Negatif
Mntap;Positif
Sangat ribet 👎👎👎;Negatif
Buruk, sangat buruk sama seperti pemerintahannya yg buruk.;Negatif
Aplikasi gak jelas , padahal sdh berulang ulang saya daftar dengan data yg benar tetap aja tdk bisa , semakin menyulit kan , beli solar pakai uang sendiri aja masih di persulit , saya beli solar woyy gak minta , npa di persulit;Negatif
Ini aplikasi fungsinya buat apa sih.. terus manfaatnya apa buat masyarakat..apa hanya untuk meningkatkan rating pertamina aja;Negatif
Sekelas BUMN apk nya seperti ini ?;Negatif
mantap;Positif
Tolong dong perbaiki lagi aplikasinya, agar dapat menghubungkan LinkAja sebagai metode pembayaran..terima Kasih;Negatif
longor;Negatif
pemberlakuan my pertamina menimbulkan masalah, terhadap konsumen yg jalan antar provinsi, aplikasi gk bisa digunakan krn wilayah sulit jaringan internet, disisi lain pihak SPBU saklek aturan pertamina, sampai terjadi rinut mulut, Pertamina gk mikirkan klu indonesia itu blm merata kualitas jaringan internetnya, PAHAM kan!!!;Negatif
Jos;Positif
Harus disempurnakan;Positif
Aplikasi yang bagus dan sangat gampang di pahami.;Positif
Bikin tambah sulit aja;Negatif
Membuat rumit.... Kenapa harus dipersulit...?;Negatif
Hp kentang.......mau isi bbm pake aplikasih......apa kata dunia;Negatif
Aplikasi asu daftar gak iso melbu;Negatif
Sangat membingungkan;Negatif
Apk belum siap,,, gak ada guna. Bikin pusing pengguna,,,semua data sampah disimpan nya,,,tidak bisa membedakan mana yg terverifikasi dan yg belum,,,,semua data yg pernah dimasukkan apk ini disimpan, dan tudak bisa digunakan lg walaupun belum sukses. Apk konyol,,,, sekarang era web 3,,,ada apa dg apk ini,,,;Negatif
buruk;Negatif
Simpel;Positif
Hebat dan cepat;Positif
Ngapain harus di kaitkan dengan linkaja lebih dulu Sedangkan opsinya banyak tpi tidak bisa di pilih. Aplikasinya kurang memihak ke kalangan bawah.;Negatif
Aplikasi nya sangat rumit . Apa lagi kalau untuk pengaduan layanan . Belum apa-apa ngomong udh di akhir saja . Tolong di perbaiki lagi ya kak sistem nya 🙂;Negatif
Jatah solar cuma 100 liter perhari buat sopir lintas itu ga cukup Harusnya perjalanan cepet skrg jadi lambat;Negatif
Aplikasi yang sangat buruk, mau login aja ribetnya bikin stress. Akun terdaftar tapi verikasi akun sangat lama, dan kemudian tertolak.;Negatif
Tiap mau isi BBM kuota habis.... Jangan2 ada yg pakai no pol saya.... Gimana nih Pertamina masa mobil di saya tp orang lain bisa isi pakai nopol saya;Negatif
Kata di apk nya bisa pake ovo lah pas di coba ke pom nya malah gabisa . tolong lah permudah pembayaran . sy kasih bintng 3 dlu klo bisa pake ovo ke pom nya baru tak kasih b 5;Negatif
Jelek banget, aplikasi merepotkan;Negatif
Terlalu berbelit² bikin bingung dan ga jelas;Negatif
Apa sih gunanya aplikasi ini, semua data sudah masuk sesuai dengan identitas saya dan kendaraan saya, dan hari ini saya sangat kecewa karena mendapatkan penolakan saat isi bbm dengan alasan saya telah melakukan pengisian bbm untuk hari ini, dan saya di anjurkan untuk mengisi dengan bbm yang tidak bersubsidi, trs selama ini data yang saya cantumkan gunanya untuk apa kalau data kendaraan saya masih bisa di gunakan orang lain?;Negatif
Good job;Positif
Button atau tombol untuk cetak kode QR nya ga berfungsi ya? Mohon di perbaiki terimakasih pertamina;Negatif
Good;Positif
gimn mo di pake aplikasiy, log in aja g bisa;Negatif
Sayang sekali jika harus gunakan linkaja duluan baru bisa aktivasi pakai ovo sebagai metode pembayaran. Karena saya bukan pengguna linkaja;Negatif
sangat membantu;Positif
Update data malah susah,upload foto alasan harus terbaca,,,, sebetulnya dilihat atau tidak saya upload foto,,,, Tolong perbaiki sistemnya,,,,;Negatif
Ok;Positif
Ribet;Negatif
Susah buat daftar;Negatif
Suparman Tanjung rejo,10,05,1976;Positif
Perbaiki lagi supaya terhubung ke link aja soalnya gagal terus;Negatif
Top;Positif
Tidak bagus lama lemot mau masukin no yg lwat email kmbali trus ngk akan masuk ujung2;Negatif
busuk;Negatif
Sangat rumit tidak membatu seperti di persulit masak mau daftat ulang nopolnya tidak bisa sama,knp di tolak kalau tidak bisa di ulangi dengam nopol yang sama;Negatif
suruh pake aplikasi tapi banyak spbu yang tidak melayani prmbayaran pakai mypertamina, kan lucu 😂;Negatif
Baik;Positif
Lambat dalam menjawab pertanyaan dan aplikasi sering tidak dapat digunakan;Negatif
Aplikasi my pertamina saya kok tidak bisa di hubungkan ke link aja ,,,heran gue,,,sampai gue call cs nya dan pulsa saya sampai habis dan belum ada penyeleseiannya,,,kok ribet buanget yaa!!!;Negatif
Tidak mambantu dan mempersulit pengisian dan pembodohan publik;Negatif
Aplikasi gk jelas;Negatif
good;Positif
Jelek kode gk masuk,pake wa Kan bisa juga verifikasinya ribet banget pake sms;Negatif
Saya sering kehabisan BBM di tengah jalan... Tersiksa.. Buka Aplikasi My pertamina sulit tnya setengah mati, sudah bisa masuk diarahkan harus unduh link. Dari salah pun dsb pokoknya mumet aja kepala kalo sdh mu coba apl my pertmina harus ke link;Negatif
Cukup baik;Positif
Good Job;Positif
Tidak semua orang bisa pakai dan tidak semua SPBU konsumen beli pakai barcode..;Negatif
Josss gandos;Positif
Aplikasi tidak berjalan baik selalu gagal masuk;Negatif
Pelayanan mudah;Positif
Bagus sekali;Positif
Kok Jd ribet banget sih . Ini sama sekali gak ngebantu masyarakat. Apalagi yang gaptek dan gak punya android. Tolong lah Pak kebijakan ini sebaiknya di tiadakan . Karena sangat sangat tidak membantu masyarakat mu pak.;Negatif
Aplikasi buruk, useless bgt, tujuan aplikasinya apa yg didata apa, ga sinkron, udah gitu bayarnya jga ribet cma link doang bsanya, hufftt payah, masa.pertamia kek gini kinerjanya, gajo n fasilitas pgawai doang dbesarin, layanan 0 besar, merugikan negara aja ktjaan org ptamina ini, kbesaran cost drpd benefit;Negatif
Bagusss;Positif
Parah susah banget pakenya;Negatif
Tolong dipermudah aplikasi my Pertamina biar CPT beres.;Negatif
Aplks mudah dipahami, cuma sulit mendapatkan rekomendasi;Positif
Ok ok ok;Positif
eh pertamina!! klo di spbu mw operan sift itu jgn lama2 sampai 15 menit ngaco emng g da sistem yg lebih praktis apa?!;Negatif
Top;Positif
Mayan;Positif
sekelas negara.. Dipermalukan sama apk ini.. Ratingnya sekitar 2.9;Negatif
Barkot saya ga bisa d gunakan;Negatif
App gak berfaedah Gak jelas tujuannya apa Salah urus Kalo gak sanggup, nyerah aja ngelola nya Gak usah sok buat sisitem pembodohan seperti ini;Negatif
Aplikasi banyak bug nya, koneksi eror, daftar verifikasi susah, pas pembayaran lama, nyusahin aja ni aplikasi;Negatif
Apk penyusah, gampang menurut anda tidak untuk kami.;Negatif
Berikan solusi y;Positif
Aplikasi tidak jelas kode Verifikasi tadi dikirim ke email;Negatif
Fixed bugs,terutama metode pembayarannya;Positif
1. Force close melulu 2. Ada fitur kamera utk foto kendaraan. Tp tidk bisa digunakan. -pilih menu upload gambar malah fc lg. 3. Call center yg disediakan tdk merespon 4. Tiap kalai ke pom bensin harus nunjukinbarcode. Tp mau bikin barcode di apk ini aja susahnya minta ampun. 5. Ditawarin buat bikin di pom aja. Terus buat apa ada apk ini? Heran;Negatif
Aplikasi telek. Udah 1 bulan kode perivikasi g ada muncul ke email. Coba daftar pake email lain bilangnya plat dan nik sudah terdaftar. Tapi sampai sekarang kode perifikasi tak juga muncul. Notifikasi masuk di layar hp, dibuka malah hilang. Kirim email ke customer servise sudah 1000 x, tapi selalu di php in doang. Alias gak dibalas. Hadegh. . . Mau beli cash padahal bukan hutang, malah sulit.;Negatif
Pemerintah bikin lucu2 an.,;Negatif
ribet bgt mau beli pertalite, kok gini bgt ya rakyat cilik;Negatif
Gimna kalau mati lampu pada saat ngisi BBM dan gimna masyrakat yg belum punya hp android yg ingin ngisi bensin. Cuman menyusakan masyrakat;Negatif
Lagi coba;Positif
Sangat membantu;Positif
Masih banyak kendala dalam aplikasi. Untuk metode pembayaran lebih ditingkatkan dan lebih banyak variasi;Negatif
"Aplikasinya membagongkan dari opsi bayar sampai batasan pengisian BBM .beberapa keluhan seperti ""operator SPBU lebih maksa pembayaran dengan cash ketimbang qris my pertamina"". Padahal kan kita customer boleh membayar sesuai permintaan mau cash atau qris.niat kumpulin poin tapi kehambat perkara operator SPBU di beberapa titik kota Medan.";Negatif
Sangat buruk sekali.;Negatif
Sudah mendaftar dari kemari belum ada verifikasinya;Negatif
bagus puas;Positif
Ok bagus;Positif
Baru menggunakan;Positif
Aplikasi ini bukan meringankan tetapi merepotkan pengguna karena Pembayarannya harus pake link aja walau pun ada yang lain tetap harus pakai link aja. Intinya percuma aja menyediakan berbagai macam pembayaran tapi ujung ujungnya harus pake link aja;Negatif
Bagus;Positif
Sangat baik dan membatu konsumen;Positif
Astaga, tolong lebih di benahi lagi ya sistemnya kami selalu konsumen BBM turut prihatin dengan sistem pembelian dan dalam registrasi cukup berbelit-belit;Negatif
Bagus tapi barkot nya belum muncul.;Negatif
Ternyata subsidi belum tepat sasaran,nyatanya saya pemilik mobil pick up l300 tidak bisa beli BBM subsidi ,sedangkan mobil mewah masih ada yg boleh beli solar subsidi;Negatif
Untuk masuk/daftar di my pertamina payah Kali. Gak nanti di daftar salah juga sama pemerintah;Negatif
Aplikasi BURUK & SANGAT BURUK;Negatif
Tolong hapus lisensi ke link aja karena banyak kendala ketika harus log in atau pun reset ke link aja Mending langsung pembayaran mobile aplikasi lain atau banking ga usah harus sambungkan ke link aja Kl udah ga prioritas link aja saya kasih *5;Negatif
Lebih teratur dalam mengunakan supsisidi;Positif
Aplikasi payah, susah di mengerti, minta tolong sama petugas nya malah di suruh keluarin uang minum, klo gak di bayar gak mau di kasih tau, payah klo kek gini tolong lah di proses bener aplikasi nya.;Negatif
Bikin ribet bos;Negatif
Aplikasinya bikin rakyat biasa pusing.;Negatif
Tidak membantu;Negatif
Baik;Positif
Cepat tepat;Positif
Ra mutu;Negatif
Aplikasi taik... setaon dah di isi tp gak bisa@.. edit data kendaraan susahnya minta ampun... bakar aja pertamina !;Negatif
Verifikasi data lambat;Negatif
Saya udah punya akun kenapa tidak bisa masuk lagi tolong dong;Negatif
Mantappp;Positif
jaman sekarang ini sudah susah di tambah aplikasi yang berbelit-belit jadi tambah susah... jangan di bikin ribetl dan belit-belit.. kasihan bagi masyarakat yang sama sekali tidak mengerti.;Negatif
Aplikasi ribet beli solar aja di bikin ribet udh gitu elor mulu harap di hapus di play store;Negatif
Mantap;Positif
Bagus;Positif
Tidak dengan prosesnya rumitnya;Negatif
Masih tandatanya;Negatif
Good;Positif
aplikasi dan aturan tidak jelas.;Negatif
nambah pusing aja pake barcode;Negatif
Aplikasi gaguna percuma bikin dari awal 2022 sampai awal 2023 belom juga bisa jelek;Negatif
Selamat anda mendapat 0 poin, sekarang total poin anda adalah 0;Negatif
Pasang App MyPertamina;Positif
Ok;Positif
Ngga masok blas;Negatif
Blom tau kelanjutan nya kalau bgus kita tambah;Negatif
Muantappppp;Positif
Sangat efisein, hanya saja UNTUK PENGGUNAAN DI SEMUA JENIS HANDPHONE BELUM MUTAKHIR PADA KEY WORT SCANE QR, TIDAK BERFUNGSI PADA HANDPHONE OPO DLL;Positif
Tidak pernah dpet koin setiap klime abis isi ulang bahan bakar 👎;Negatif
Aplikasi mempersulit umat.. Semoga yang mengagas hidupnya dipersulit.;Negatif
Ribet;Negatif
Tidak bisa edit data;Negatif
BUAT SEMUA KASIH BINTANG 1 AJA!! SUMPAH PAK, APLIKASI NGGAK MUTU BUAT MASYARAKAT, MALAH NYUSAHIN MASYARAKAT INDO. BELI BBM UDAH ANTRI PANJANG, APLIKASI RIBET AMAT LOGIN. SUSAH PAK KAMI, UDAH SUPIR MASIH DI RIBETIN BEGINIAN BELI SOLAR;Negatif
LHari sabtu tgl 18 jadi kita bertemunya..sekitar jam 10 pagi pater...;Negatif
Aplikasi tolol;Negatif
Top;Positif
Bari mau download aja susah, abis itu liat komen gak ada yg puas. Payah pertamina.;Negatif
Ezzlzlz;Negatif
Ribet banget my pertmina see seharusnya cukup cek plat langsung keluar barcot di alatnya SPBU. Bukan tiap ngisi buka hp keluarkan barkot😁;Negatif
Belum memiliki barcode;Negatif
Jelek sekali setelah di daftar login katanya salah;Negatif
BBM non subsidimm Mm .;Negatif
Rempong;Negatif
